Descricao;Ano;Semana;Casos
ABADIA DE GOIAS;2010;1;6.0
ABADIA DE GOIAS;2010;2;4.0
ABADIA DE GOIAS;2010;3;8.0
ABADIA DE GOIAS;2010;4;6.0
ABADIA DE GOIAS;2010;5;8.0
ABADIA DE GOIAS;2010;6;4.0
ABADIA DE GOIAS;2010;7;2.0
ABADIA DE GOIAS;2010;8;8.0
ABADIA DE GOIAS;2010;9;5.0
ABADIA DE GOIAS;2010;10;1.0
ABADIA DE GOIAS;2010;11;1.0
ABADIA DE GOIAS;2010;12;2.0
ABADIA DE GOIAS;2010;13;3.0
ABADIA DE GOIAS;2010;14;0.0
ABADIA DE GOIAS;2010;15;0.0
ABADIA DE GOIAS;2010;16;0.0
ABADIA DE GOIAS;2010;17;0.0
ABADIA DE GOIAS;2010;18;2.0
ABADIA DE GOIAS;2010;19;1.0
ABADIA DE GOIAS;2010;20;1.0
ABADIA DE GOIAS;2010;21;3.0
ABADIA DE GOIAS;2010;22;3.0
ABADIA DE GOIAS;2010;23;2.0
ABADIA DE GOIAS;2010;24;3.0
ABADIA DE GOIAS;2010;25;4.0
ABADIA DE GOIAS;2010;26;5.0
ABADIA DE GOIAS;2010;27;9.0
ABADIA DE GOIAS;2010;28;6.0
ABADIA DE GOIAS;2010;29;2.0
ABADIA DE GOIAS;2010;30;0.0
ABADIA DE GOIAS;2010;31;3.0
ABADIA DE GOIAS;2010;32;1.0
ABADIA DE GOIAS;2010;33;0.0
ABADIA DE GOIAS;2010;34;0.0
ABADIA DE GOIAS;2010;35;0.0
ABADIA DE GOIAS;2010;36;0.0
ABADIA DE GOIAS;2010;37;0.0
ABADIA DE GOIAS;2010;38;0.0
ABADIA DE GOIAS;2010;39;0.0
ABADIA DE GOIAS;2010;40;1.0
ABADIA DE GOIAS;2010;41;3.0
ABADIA DE GOIAS;2010;42;0.0
ABADIA DE GOIAS;2010;43;2.0
ABADIA DE GOIAS;2010;44;0.0
ABADIA DE GOIAS;2010;45;1.0
ABADIA DE GOIAS;2010;46;1.0
ABADIA DE GOIAS;2010;47;0.0
ABADIA DE GOIAS;2010;48;0.0
ABADIA DE GOIAS;2010;49;2.0
ABADIA DE GOIAS;2010;50;0.0
ABADIA DE GOIAS;2010;51;0.0
ABADIA DE GOIAS;2010;52;1.0
ABADIA DE GOIAS;2011;1;1.0
ABADIA DE GOIAS;2011;2;1.0
ABADIA DE GOIAS;2011;3;6.0
ABADIA DE GOIAS;2011;4;7.0
ABADIA DE GOIAS;2011;5;6.0
ABADIA DE GOIAS;2011;6;3.0
ABADIA DE GOIAS;2011;7;6.0
ABADIA DE GOIAS;2011;8;2.0
ABADIA DE GOIAS;2011;9;2.0
ABADIA DE GOIAS;2011;10;7.0
ABADIA DE GOIAS;2011;11;0.0
ABADIA DE GOIAS;2011;12;1.0
ABADIA DE GOIAS;2011;13;1.0
ABADIA DE GOIAS;2011;14;3.0
ABADIA DE GOIAS;2011;15;1.0
ABADIA DE GOIAS;2011;16;1.0
ABADIA DE GOIAS;2011;17;1.0
ABADIA DE GOIAS;2011;18;2.0
ABADIA DE GOIAS;2011;19;3.0
ABADIA DE GOIAS;2011;20;2.0
ABADIA DE GOIAS;2011;21;1.0
ABADIA DE GOIAS;2011;22;4.0
ABADIA DE GOIAS;2011;23;1.0
ABADIA DE GOIAS;2011;24;0.0
ABADIA DE GOIAS;2011;25;1.0
ABADIA DE GOIAS;2011;26;1.0
ABADIA DE GOIAS;2011;27;1.0
ABADIA DE GOIAS;2011;28;1.0
ABADIA DE GOIAS;2011;29;1.0
ABADIA DE GOIAS;2011;30;1.0
ABADIA DE GOIAS;2011;31;1.0
ABADIA DE GOIAS;2011;32;0.0
ABADIA DE GOIAS;2011;33;0.0
ABADIA DE GOIAS;2011;34;2.0
ABADIA DE GOIAS;2011;35;1.0
ABADIA DE GOIAS;2011;36;0.0
ABADIA DE GOIAS;2011;37;0.0
ABADIA DE GOIAS;2011;38;0.0
ABADIA DE GOIAS;2011;39;0.0
ABADIA DE GOIAS;2011;40;0.0
ABADIA DE GOIAS;2011;41;3.0
ABADIA DE GOIAS;2011;42;0.0
ABADIA DE GOIAS;2011;43;0.0
ABADIA DE GOIAS;2011;44;0.0
ABADIA DE GOIAS;2011;45;0.0
ABADIA DE GOIAS;2011;46;0.0
ABADIA DE GOIAS;2011;47;0.0
ABADIA DE GOIAS;2011;48;0.0
ABADIA DE GOIAS;2011;49;0.0
ABADIA DE GOIAS;2011;50;1.0
ABADIA DE GOIAS;2011;51;0.0
ABADIA DE GOIAS;2011;52;0.0
ABADIA DE GOIAS;2012;1;0.0
ABADIA DE GOIAS;2012;2;0.0
ABADIA DE GOIAS;2012;3;1.0
ABADIA DE GOIAS;2012;4;0.0
ABADIA DE GOIAS;2012;5;1.0
ABADIA DE GOIAS;2012;6;0.0
ABADIA DE GOIAS;2012;7;8.0
ABADIA DE GOIAS;2012;8;0.0
ABADIA DE GOIAS;2012;9;0.0
ABADIA DE GOIAS;2012;10;1.0
ABADIA DE GOIAS;2012;11;0.0
ABADIA DE GOIAS;2012;12;4.0
ABADIA DE GOIAS;2012;13;0.0
ABADIA DE GOIAS;2012;14;0.0
ABADIA DE GOIAS;2012;15;0.0
ABADIA DE GOIAS;2012;16;0.0
ABADIA DE GOIAS;2012;17;0.0
ABADIA DE GOIAS;2012;18;0.0
ABADIA DE GOIAS;2012;19;0.0
ABADIA DE GOIAS;2012;20;0.0
ABADIA DE GOIAS;2012;21;0.0
ABADIA DE GOIAS;2012;22;0.0
ABADIA DE GOIAS;2012;23;0.0
ABADIA DE GOIAS;2012;24;1.0
ABADIA DE GOIAS;2012;25;0.0
ABADIA DE GOIAS;2012;26;1.0
ABADIA DE GOIAS;2012;27;1.0
ABADIA DE GOIAS;2012;28;0.0
ABADIA DE GOIAS;2012;29;0.0
ABADIA DE GOIAS;2012;30;0.0
ABADIA DE GOIAS;2012;31;0.0
ABADIA DE GOIAS;2012;32;0.0
ABADIA DE GOIAS;2012;33;1.0
ABADIA DE GOIAS;2012;34;0.0
ABADIA DE GOIAS;2012;35;0.0
ABADIA DE GOIAS;2012;36;0.0
ABADIA DE GOIAS;2012;37;0.0
ABADIA DE GOIAS;2012;38;0.0
ABADIA DE GOIAS;2012;39;0.0
ABADIA DE GOIAS;2012;40;0.0
ABADIA DE GOIAS;2012;41;0.0
ABADIA DE GOIAS;2012;42;0.0
ABADIA DE GOIAS;2012;43;0.0
ABADIA DE GOIAS;2012;44;0.0
ABADIA DE GOIAS;2012;45;0.0
ABADIA DE GOIAS;2012;46;0.0
ABADIA DE GOIAS;2012;47;0.0
ABADIA DE GOIAS;2012;48;0.0
ABADIA DE GOIAS;2012;49;1.0
ABADIA DE GOIAS;2012;50;0.0
ABADIA DE GOIAS;2012;51;0.0
ABADIA DE GOIAS;2012;52;0.0
ABADIA DE GOIAS;2013;1;1.0
ABADIA DE GOIAS;2013;2;2.0
ABADIA DE GOIAS;2013;3;3.0
ABADIA DE GOIAS;2013;4;6.0
ABADIA DE GOIAS;2013;5;9.0
ABADIA DE GOIAS;2013;6;7.0
ABADIA DE GOIAS;2013;7;3.0
ABADIA DE GOIAS;2013;8;15.0
ABADIA DE GOIAS;2013;9;10.0
ABADIA DE GOIAS;2013;10;19.0
ABADIA DE GOIAS;2013;11;10.0
ABADIA DE GOIAS;2013;12;12.0
ABADIA DE GOIAS;2013;13;10.0
ABADIA DE GOIAS;2013;14;9.0
ABADIA DE GOIAS;2013;15;3.0
ABADIA DE GOIAS;2013;16;12.0
ABADIA DE GOIAS;2013;17;9.0
ABADIA DE GOIAS;2013;18;4.0
ABADIA DE GOIAS;2013;19;4.0
ABADIA DE GOIAS;2013;20;7.0
ABADIA DE GOIAS;2013;21;1.0
ABADIA DE GOIAS;2013;22;1.0
ABADIA DE GOIAS;2013;23;7.0
ABADIA DE GOIAS;2013;24;4.0
ABADIA DE GOIAS;2013;25;1.0
ABADIA DE GOIAS;2013;26;1.0
ABADIA DE GOIAS;2013;27;4.0
ABADIA DE GOIAS;2013;28;1.0
ABADIA DE GOIAS;2013;29;1.0
ABADIA DE GOIAS;2013;30;0.0
ABADIA DE GOIAS;2013;31;0.0
ABADIA DE GOIAS;2013;32;0.0
ABADIA DE GOIAS;2013;33;0.0
ABADIA DE GOIAS;2013;34;0.0
ABADIA DE GOIAS;2013;35;0.0
ABADIA DE GOIAS;2013;36;0.0
ABADIA DE GOIAS;2013;37;1.0
ABADIA DE GOIAS;2013;38;0.0
ABADIA DE GOIAS;2013;39;0.0
ABADIA DE GOIAS;2013;40;0.0
ABADIA DE GOIAS;2013;41;0.0
ABADIA DE GOIAS;2013;42;0.0
ABADIA DE GOIAS;2013;43;2.0
ABADIA DE GOIAS;2013;44;0.0
ABADIA DE GOIAS;2013;45;0.0
ABADIA DE GOIAS;2013;46;0.0
ABADIA DE GOIAS;2013;47;0.0
ABADIA DE GOIAS;2013;48;0.0
ABADIA DE GOIAS;2013;49;0.0
ABADIA DE GOIAS;2013;50;0.0
ABADIA DE GOIAS;2013;51;0.0
ABADIA DE GOIAS;2013;52;0.0
ABADIA DE GOIAS;2014;1;1.0
ABADIA DE GOIAS;2014;2;1.0
ABADIA DE GOIAS;2014;3;1.0
ABADIA DE GOIAS;2014;4;1.0
ABADIA DE GOIAS;2014;5;4.0
ABADIA DE GOIAS;2014;6;1.0
ABADIA DE GOIAS;2014;7;0.0
ABADIA DE GOIAS;2014;8;1.0
ABADIA DE GOIAS;2014;9;1.0
ABADIA DE GOIAS;2014;10;2.0
ABADIA DE GOIAS;2014;11;1.0
ABADIA DE GOIAS;2014;12;4.0
ABADIA DE GOIAS;2014;13;4.0
ABADIA DE GOIAS;2014;14;7.0
ABADIA DE GOIAS;2014;15;6.0
ABADIA DE GOIAS;2014;16;0.0
ABADIA DE GOIAS;2014;17;2.0
ABADIA DE GOIAS;2014;18;5.0
ABADIA DE GOIAS;2014;19;6.0
ABADIA DE GOIAS;2014;20;5.0
ABADIA DE GOIAS;2014;21;3.0
ABADIA DE GOIAS;2014;22;5.0
ABADIA DE GOIAS;2014;23;2.0
ABADIA DE GOIAS;2014;24;0.0
ABADIA DE GOIAS;2014;25;0.0
ABADIA DE GOIAS;2014;26;2.0
ABADIA DE GOIAS;2014;27;2.0
ABADIA DE GOIAS;2014;28;0.0
ABADIA DE GOIAS;2014;29;2.0
ABADIA DE GOIAS;2014;30;1.0
ABADIA DE GOIAS;2014;31;0.0
ABADIA DE GOIAS;2014;32;0.0
ABADIA DE GOIAS;2014;33;0.0
ABADIA DE GOIAS;2014;34;1.0
ABADIA DE GOIAS;2014;35;0.0
ABADIA DE GOIAS;2014;36;1.0
ABADIA DE GOIAS;2014;37;3.0
ABADIA DE GOIAS;2014;38;1.0
ABADIA DE GOIAS;2014;39;1.0
ABADIA DE GOIAS;2014;40;1.0
ABADIA DE GOIAS;2014;41;0.0
ABADIA DE GOIAS;2014;42;0.0
ABADIA DE GOIAS;2014;43;0.0
ABADIA DE GOIAS;2014;44;0.0
ABADIA DE GOIAS;2014;45;0.0
ABADIA DE GOIAS;2014;46;1.0
ABADIA DE GOIAS;2014;47;1.0
ABADIA DE GOIAS;2014;48;1.0
ABADIA DE GOIAS;2014;49;0.0
ABADIA DE GOIAS;2014;50;0.0
ABADIA DE GOIAS;2014;51;1.0
ABADIA DE GOIAS;2014;52;0.0
ABADIA DE GOIAS;2014;53;1.0
ABADIA DE GOIAS;2015;1;0.0
ABADIA DE GOIAS;2015;2;0.0
ABADIA DE GOIAS;2015;3;0.0
ABADIA DE GOIAS;2015;4;1.0
ABADIA DE GOIAS;2015;5;1.0
ABADIA DE GOIAS;2015;6;4.0
ABADIA DE GOIAS;2015;7;0.0
ABADIA DE GOIAS;2015;8;5.0
ABADIA DE GOIAS;2015;9;3.0
ABADIA DE GOIAS;2015;10;9.0
ABADIA DE GOIAS;2015;11;8.0
ABADIA DE GOIAS;2015;12;10.0
ABADIA DE GOIAS;2015;13;3.0
ABADIA DE GOIAS;2015;14;7.0
ABADIA DE GOIAS;2015;15;8.0
ABADIA DE GOIAS;2015;16;3.0
ABADIA DE GOIAS;2015;17;8.0
ABADIA DE GOIAS;2015;18;12.0
ABADIA DE GOIAS;2015;19;3.0
