MENINGITE - Casos confirmados Notificados no Sistema de Informação de Agravos de Notificação - Brasil
Casos confirmados por Região/UF de residência e Ano 1º Sintoma(s)
Período:2019
"Região/UF de residência";"<1975";"1980";"1981";"1984";"1987";"1989";"2004";"2008";"2009";"2010";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"Total"
"Região Norte";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;17;741;759
".. Rondônia";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;39;40
".. Acre";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;26;26
".. Amazonas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6;152;158
".. Roraima";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;23;23
".. Pará";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;10;435;446
".. Amapá";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12;12
".. Tocantins";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;54;54
"Região Nordeste";2;-;-;-;1;1;-;-;1;1;1;1;1;2;4;94;2380;2489
".. Maranhão";1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;8;135;145
".. Piauí";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;6;149;156
".. Ceará";-;-;-;-;1;-;-;-;-;1;-;-;-;1;-;4;523;530
".. Rio Grande do Norte";-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;17;124;143
".. Paraíba";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;36;37
".. Pernambuco";1;-;-;-;-;1;-;-;-;-;1;-;-;1;2;28;898;932
".. Alagoas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10;120;130
".. Sergipe";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;40;41
".. Bahia";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;19;355;375
"Região Sudeste";2;-;1;1;-;-;1;-;-;1;-;3;2;1;3;225;8200;8440
".. Minas Gerais";-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;28;993;1024
".. Espírito Santo";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;154;156
".. Rio de Janeiro";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;30;982;1013
".. São Paulo";2;-;1;-;-;-;1;-;-;1;-;3;1;-;2;165;6071;6247
"Região Sul";5;-;-;-;1;-;-;1;-;1;-;1;1;-;2;78;3702;3792
".. Paraná";2;-;-;-;-;-;-;-;-;1;-;-;1;-;-;32;1775;1811
".. Santa Catarina";1;-;-;-;-;-;-;1;-;-;-;1;-;-;2;14;962;981
".. Rio Grande do Sul";2;-;-;-;1;-;-;-;-;-;-;-;-;-;-;32;965;1000
"Região Centro-Oeste";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;23;655;679
".. Mato Grosso do Sul";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7;142;149
".. Mato Grosso";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;5;146;152
".. Goiás";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7;224;231
".. Distrito Federal";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;143;147
"Total";9;1;1;1;2;1;1;1;1;3;1;6;4;3;9;437;15678;16159
 Fonte: Ministério da Saúde/SVS - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
  Excluídos casos não residentes no Brasil.
  Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos.
  Para tabular dados epidemiológicos de um determinado ano selecione na linha a variável de interesse, na Coluna Ano dos 1ºs sintomas; em Períodos Disponíveis assinale o ano inicial da série e todos os posteriores até o ano atual (p/ incluir casos no
  Para cálculo da incidência utilize locais de residência.
  Dados de 2007 atualizados em 02/07/2012.
  Dados de 2008 atualizados em 02/07/2012.
  Dados de 2009 atualizados em 06/09/2020.
  Dados de 2010 atualizados em 04/11/2013.
  Dados de 2011 atualizados em 29/08/2014.
  Dados de 2012 atualizados em 01/06/2015.
  Dados de 2013 atualizados em 18/12/2017.
  Dados de 2014 atualizados em 17/12/2018.
  Dados de 2015 atualizados em 26/11/2018.
  Dados de 2016 a 2020 atualizados em 14/09/2020, dados sujeitos à revisão.
  Para os dados de 2020, considerar nas análises apenas as notificações feitas entre 01/01/2020 e 30/06/2020. Além deste período, os casos podem estar subnotificados (atraso na subida de dados do nível estadual para o nível federal)
		*Dados disponibilizados no TABNET em 13/10/2020.
 
