"Imuno";"RO";"AC";"AM";"RR";"PA";"AP";"TO";"MA";"PI";"CE";"RN";"PB";"PE";"AL";"SE";"BA";"MG";"ES";"RJ";"SP";"PR";"SC";"RS";"MS";"MT";"GO";"DF";" Total"
"BCG";"88,11";"93,86";"93,27";"115,88";"83,06";"100,27";"112,41";"83,57";"82,58";"86,05";"85,29";"94,90";"92,07";"91,54";"85,41";"78,05";"88,76";"90,10";"79,62";"83,78";"91,19";"83,43";"87,83";"114,25";"90,11";"86,73";"93,24";"86,67"
"Hepatite B  em crianças até 30 dias";"86,75";"91,26";"89,62";"115,53";"75,47";"90,97";"111,88";"77,83";"81,51";"78,89";"83,35";"86,93";"88,38";"83,73";"84,33";"73,74";"81,77";"83,53";"50,77";"77,52";"70,89";"79,94";"78,35";"111,71";"86,96";"77,48";"102,65";"78,57"
"Rotavírus Humano";"88,92";"84,50";"82,55";"78,95";"76,03";"78,73";"88,73";"77,52";"82,40";"94,96";"84,56";"95,51";"86,73";"88,83";"82,03";"75,23";"90,40";"88,70";"75,05";"87,17";"90,80";"95,35";"86,94";"94,82";"86,18";"83,98";"85,38";"85,40"
"Meningococo C";"92,63";"89,67";"89,23";"83,54";"77,41";"84,90";"93,52";"77,80";"85,44";"97,42";"85,25";"96,90";"88,71";"91,80";"86,80";"78,53";"91,46";"90,46";"76,81";"87,88";"92,93";"97,88";"90,81";"97,25";"90,31";"85,67";"85,69";"87,41"
"Hepatite B";"89,66";"76,42";"78,58";"64,39";"62,38";"52,67";"76,38";"58,58";"68,15";"80,06";"68,87";"82,21";"73,70";"79,12";"76,81";"66,89";"74,36";"66,38";"55,16";"72,14";"79,03";"71,98";"71,77";"85,74";"72,52";"64,00";"69,95";"70,77"
"Penta";"89,66";"76,42";"78,58";"64,39";"62,38";"52,67";"76,38";"58,46";"68,15";"80,05";"68,87";"82,19";"73,69";"79,12";"76,81";"66,89";"74,36";"66,36";"55,15";"72,10";"79,03";"71,98";"71,77";"85,70";"72,52";"64,00";"69,95";"70,76"
"Pneumocócica";"102,44";"91,53";"92,51";"90,26";"82,14";"84,90";"94,02";"84,13";"86,74";"98,85";"89,32";"99,90";"90,14";"94,73";"84,73";"79,56";"91,88";"91,76";"78,40";"89,81";"92,38";"97,88";"89,64";"98,17";"90,58";"86,99";"88,06";"89,07"
"Poliomielite";"98,26";"81,73";"83,29";"79,76";"72,72";"73,01";"88,17";"75,73";"81,85";"93,54";"80,74";"92,60";"85,64";"87,89";"80,86";"74,83";"88,52";"86,68";"73,62";"86,62";"89,69";"93,68";"85,09";"94,41";"85,81";"81,52";"84,32";"84,19"
"Poliomielite 4 anos";"63,78";"50,98";"75,83";"67,68";"39,49";"42,48";"65,91";"40,65";"52,71";"64,50";"54,99";"63,83";"57,10";"60,47";"65,62";"51,86";"76,71";"78,79";"53,83";"82,67";"86,79";"99,46";"85,15";"94,68";"74,38";"67,60";"79,77";"68,45"
"Febre Amarela";"81,42";"68,69";"74,10";"69,77";"62,60";"66,99";"76,47";"66,75";"73,40";"0,78";"0,65";"1,16";"1,15";"2,78";"1,22";"66,44";"85,71";"70,89";"55,21";"72,30";"83,19";"84,43";"63,72";"88,88";"75,92";"73,43";"79,19";"62,41"
"Hepatite A";"85,01";"80,62";"85,32";"81,05";"72,67";"77,17";"87,09";"74,06";"80,21";"91,32";"81,40";"91,77";"86,09";"88,65";"82,05";"75,30";"92,00";"91,96";"77,67";"86,26";"91,29";"94,35";"89,42";"94,21";"82,91";"83,29";"87,32";"85,02"
"Pneumocócica(1º ref)";"97,68";"78,82";"86,41";"72,63";"73,55";"76,09";"90,44";"75,08";"81,79";"89,82";"87,32";"90,12";"86,37";"89,52";"84,39";"73,59";"87,10";"88,41";"73,48";"82,85";"88,42";"93,59";"86,90";"96,63";"90,44";"84,87";"79,87";"83,47"
"Meningococo C (1º ref)";"89,81";"85,96";"90,88";"77,20";"74,55";"85,77";"95,13";"77,11";"84,11";"93,38";"84,86";"89,10";"88,14";"91,51";"87,29";"78,68";"89,93";"91,72";"71,95";"86,34";"90,44";"94,87";"91,35";"97,09";"89,42";"84,76";"84,33";"85,78"
"Poliomielite(1º ref)";"75,47";"70,66";"77,02";"69,29";"60,00";"56,30";"75,97";"63,56";"67,15";"80,25";"71,49";"78,26";"72,19";"80,00";"71,16";"65,83";"81,41";"78,71";"60,18";"78,83";"80,90";"84,07";"80,85";"92,92";"74,42";"73,61";"77,23";"74,62"
"Tríplice Viral  D1";"106,42";"87,39";"92,12";"81,21";"82,81";"87,24";"91,07";"87,05";"89,01";"103,02";"93,73";"105,74";"101,00";"106,22";"90,99";"84,65";"96,97";"95,01";"96,58";"91,80";"91,99";"95,82";"91,23";"104,88";"89,91";"88,39";"85,71";"93,12"
"Tríplice Viral  D2";"82,25";"78,65";"82,29";"86,72";"71,34";"74,28";"84,71";"65,87";"74,48";"86,70";"74,40";"87,79";"81,45";"74,53";"74,98";"70,50";"87,58";"87,45";"77,24";"82,50";"90,67";"93,34";"87,60";"92,21";"83,71";"79,68";"86,80";"81,55"
"Tetra Viral(SRC+VZ)";"70,74";"75,68";"72,71";"74,53";"59,90";"64,43";"81,35";"6,94";"2,14";"13,04";"3,74";"13,22";"7,78";"3,43";"0,81";"1,79";"1,37";"3,42";"6,76";"26,81";"83,02";"89,32";"82,89";"81,86";"79,44";"71,18";"84,27";"34,24"
"DTP REF (4 e 6 anos)";"49,83";"44,19";"64,28";"67,49";"35,44";"46,54";"53,13";"33,17";"46,57";"49,94";"47,27";"59,57";"48,24";"42,23";"56,66";"50,83";"59,62";"44,80";"36,84";"64,46";"78,82";"55,69";"66,37";"70,51";"54,29";"34,41";"52,05";"53,74"
"Tríplice Bacteriana(DTP)(1º ref)";"55,01";"51,30";"65,04";"68,09";"44,11";"50,37";"55,40";"46,21";"55,64";"57,20";"56,12";"67,23";"55,37";"50,96";"61,36";"62,15";"68,71";"44,64";"39,61";"58,48";"76,48";"54,50";"64,98";"66,40";"57,57";"36,50";"52,46";"57,08"
"Dupla adulto e tríplice acelular gestante";"53,32";"49,19";"53,39";"42,43";"46,78";"48,48";"51,01";"42,83";"46,71";"60,45";"45,06";"50,89";"53,46";"53,82";"42,47";"34,64";"44,68";"57,38";"34,37";"40,27";"44,45";"55,50";"47,95";"62,99";"45,07";"36,42";"58,02";"45,02"
"dTpa gestante";"75,54";"64,51";"69,61";"70,99";"59,87";"58,98";"75,97";"62,71";"62,73";"70,42";"64,49";"69,50";"68,23";"68,59";"57,61";"55,69";"70,10";"73,10";"54,09";"54,77";"68,69";"71,96";"68,08";"79,42";"67,12";"64,04";"72,20";"63,23"
"Total";"82,12";"74,83";"79,80";"77,48";"65,14";"69,27";"82,12";"63,23";"69,58";"75,18";"68,19";"76,94";"71,10";"71,79";"68,84";"65,14";"77,86";"75,32";"61,19";"74,50";"82,87";"83,98";"79,46";"90,84";"78,28";"71,93";"79,12";"73,44"
