"Imuno";"RO";"AC";"AM";"RR";"PA";"AP";"TO";"MA";"PI";"CE";"RN";"PB";"PE";"AL";"SE";"BA";"MG";"ES";"RJ";"SP";"PR";"SC";"RS";"MS";"MT";"GO";"DF";" Total"
"BCG";"100,84";"100,24";"101,78";"115,22";"91,21";"108,45";"105,16";"99,39";"90,16";"105,20";"93,73";"103,18";"102,22";"105,06";"98,77";"89,66";"96,12";"96,58";"105,97";"97,66";"98,80";"96,92";"95,52";"121,84";"101,43";"96,80";"101,06";"98,68"
"Hepatite B  em crianças até 30 dias";"96,37";"76,41";"91,83";"98,44";"76,43";"90,15";"93,30";"87,56";"83,26";"92,38";"83,35";"87,48";"87,51";"88,86";"102,94";"77,29";"84,58";"86,91";"80,98";"88,97";"75,93";"86,42";"77,80";"110,12";"94,28";"76,11";"112,25";"85,65"
"Rotavírus Humano";"98,63";"78,11";"80,71";"88,50";"72,78";"80,24";"91,93";"80,83";"81,85";"105,25";"82,38";"91,69";"92,83";"88,55";"88,08";"79,97";"95,30";"92,49";"89,05";"91,94";"93,65";"98,87";"89,30";"104,57";"91,31";"89,43";"91,09";"89,90"
"Meningococo C";"100,36";"79,91";"85,85";"89,33";"74,45";"81,92";"91,39";"81,92";"83,77";"107,01";"84,45";"92,14";"94,27";"93,48";"88,37";"83,66";"96,04";"92,95";"92,87";"92,15";"95,64";"100,37";"90,99";"106,17";"94,11";"89,92";"95,98";"91,58"
"Hepatite B";"105,14";"74,92";"87,78";"86,31";"69,29";"73,40";"92,16";"80,51";"80,54";"103,00";"81,92";"90,31";"94,13";"90,43";"86,45";"81,85";"94,17";"93,06";"92,87";"93,70";"94,43";"96,89";"89,82";"103,82";"92,70";"87,26";"93,82";"90,53"
"Penta";"102,00";"73,48";"83,40";"85,95";"67,54";"71,99";"88,74";"77,81";"78,89";"100,27";"80,51";"88,38";"91,84";"87,63";"86,29";"80,52";"92,01";"88,18";"87,97";"88,85";"92,04";"92,33";"85,78";"102,78";"90,58";"83,19";"90,06";"87,29"
"Pneumocócica";"104,37";"80,58";"86,75";"92,57";"74,04";"79,66";"94,94";"83,89";"84,62";"108,88";"86,51";"94,53";"96,51";"93,60";"90,40";"84,53";"96,83";"95,49";"93,50";"95,95";"96,32";"99,20";"91,96";"107,46";"95,27";"90,27";"97,00";"93,18"
"Poliomielite";"104,54";"77,21";"86,40";"89,86";"71,43";"70,66";"89,67";"82,23";"79,51";"104,53";"83,86";"91,50";"94,42";"89,20";"85,93";"81,97";"92,47";"91,65";"91,27";"90,98";"92,40";"95,78";"87,57";"104,09";"92,42";"87,22";"93,52";"89,61"
"Poliomielite 4 anos";"61,31";"42,84";"60,53";"72,85";"30,54";"26,68";"65,05";"38,34";"51,73";"65,86";"46,45";"57,63";"58,06";"60,88";"64,89";"46,92";"75,46";"74,31";"59,50";"77,45";"81,47";"92,24";"77,42";"89,40";"67,56";"65,50";"75,76";"64,78"
"Febre Amarela";"100,38";"64,61";"79,15";"84,43";"62,05";"72,32";"79,62";"74,91";"73,75";"0,73";"0,49";"0,86";"0,73";"1,39";"0,63";"74,55";"87,28";"35,47";"21,92";"35,57";"74,77";"44,63";"58,31";"96,99";"88,86";"80,23";"87,75";"51,14"
"Hepatite A";"86,71";"61,12";"74,85";"79,57";"59,74";"70,96";"79,57";"67,32";"72,11";"88,71";"68,68";"76,53";"79,57";"81,46";"77,30";"72,95";"85,83";"84,77";"80,60";"79,84";"84,82";"88,43";"80,79";"90,50";"80,49";"79,05";"86,47";"79,20"
"Pneumocócica(1º ref)";"93,26";"63,64";"79,14";"82,58";"64,72";"68,15";"85,29";"72,08";"78,04";"98,40";"78,72";"80,62";"87,00";"85,62";"84,21";"74,76";"89,05";"89,17";"82,39";"85,03";"89,33";"92,35";"83,09";"100,37";"85,79";"82,05";"86,19";"83,67"
"Meningococo C (1º ref)";"93,78";"67,06";"82,46";"87,08";"67,17";"73,67";"87,93";"74,44";"81,32";"100,12";"80,64";"80,98";"90,26";"84,41";"85,94";"79,80";"92,67";"90,55";"82,87";"85,80";"91,50";"94,52";"85,77";"101,04";"88,35";"85,03";"90,70";"85,82"
"Poliomielite(1º ref)";"82,04";"61,40";"73,14";"84,78";"55,66";"49,28";"78,59";"66,21";"66,48";"91,19";"71,02";"75,20";"80,37";"81,05";"75,80";"70,16";"84,96";"81,34";"73,36";"81,60";"79,61";"84,87";"79,46";"95,86";"78,53";"76,34";"80,02";"77,68"
"Tríplice Viral  D1";"112,66";"84,06";"92,38";"95,77";"80,65";"89,09";"92,90";"90,42";"85,09";"114,39";"93,18";"100,65";"103,51";"104,41";"91,36";"89,63";"98,63";"97,73";"102,94";"94,30";"95,67";"98,88";"91,48";"109,41";"96,48";"93,07";"92,45";"96,00"
"Tríplice Viral  D2";"90,65";"63,99";"76,54";"87,76";"59,79";"73,88";"79,47";"64,42";"66,63";"94,17";"68,36";"72,65";"77,88";"74,77";"75,06";"70,51";"83,84";"83,19";"78,79";"85,62";"87,41";"88,96";"82,04";"92,26";"83,26";"78,77";"90,40";"80,12"
"Tetra Viral(SRC+VZ)";"83,77";"59,90";"71,39";"82,58";"52,89";"68,34";"71,93";"42,95";"34,77";"62,44";"45,23";"40,83";"50,64";"49,17";"45,33";"43,14";"45,92";"49,51";"49,59";"59,83";"78,61";"83,08";"73,79";"82,66";"77,63";"70,76";"87,04";"58,50"
"DTP";"104,64";"73,96";"88,89";"91,90";"74,41";"85,43";"93,58";"84,79";"81,42";"105,91";"85,62";"91,53";"98,88";"88,96";"90,11";"88,08";"97,73";"97,73";"97,15";"95,14";"97,56";"100,95";"91,87";"115,46";"99,53";"91,52";"101,22";"93,93"
